index,perf_name
0,The Infernal Comedy
1,"Yuja Wang"
2,London Philharmonic
3,Hamburg Symphony
4,Chicago Symphony Orchestra
5,San Francisco Symphony
6,Pavel Haas Quartet
7,Ballet Preljocaj
8,Joshua Bell
9,Murray Perahia
10,Mariinsky Orchestra
11,Detroit Symphony Orchestra
12,New York Philharmonic
13,Artemis Quartet
14,"Anne-Sophie Mutter,"
15,Bobby McFerrin
16,Alison Balsom
17,SITI: Trojan Women
18,Audra McDonald
19,"Andras Schiff"
20,Apollo's Fire
21,"Joshua Bell, violin"
22,St Petersburg Philharmonic
23,Israel Philharmonic
24,Akademie fur Alte Musik Berlin
25,"Olga Kern"
26,Kremerata Baltica
27,"Tara Erraught, mezzo"
28,"Denis Matsuev"
29,Handel's Radamisto
30,Milhaud's Oresteian
31,Random Dance
32,Hagen Quartet
33,Handel's Messiah
34,Propeller: Twelfth Night
35,St Lawrence Quartet
36,Belcea Quartet
37,The Audience
38,Gate Theatre
39,Stile Antico
40,Einstein on the Beach
41,Chamber Ensemble of the Shanghai Chinese Orchestra
42,Zakir Hussain & Masters of Percussion
43,Aspen Santa Fe Ballet
44,Rhinoceros
45,Gilberto Gil
46,Prudencia Hart
47,Martha Graham Dance
48,Mariachi Vargas de Tecalitlan
49,The Silk Road Ensemble
50,Ragamala Dance
51,Complicite
52,Chris Thile
53,Blind Summit
54,Royal Shakespeare Company Live in HD: Richard II
55,State Symphony Capella of Russia
56,New Century Chamber Orchestra: Nadja Salerno-Sonnenberg
57,Emerson String Quartet
58,Les Violons du Roy
59,Mark Morris Dance Group
60,Takacs Quartet
61,Ahmad Jamal
62,Goran Bregovic
63,Cloud Gate Dance Theatre
64,Diego El Cigala
65,AnDa Union
66,A Night in Treme
67,Sweet Honey In The Rock
68,Jazz at Lincoln Center
69,The Andersen Project
70,From Cass Corridor
71,JLCO with Wynton
72,Angelique Kidjo
73,Amjad Ali Khan
74,Hamid Al-Saadi
75,Esperanza Spalding
76,Hubbard Street Dance
77,Manganiyar Seduction
78,Ukulele Orchestra of Great Britain
79,Jerusalem String Quartet
80,Bullet Catch
81,Kronos Quartet
82,Dianne Reeves Quartet
83,Kodo
84,Propeller: Taming of the Shrew
85,1927: The Animals and Children Took to the Streets
86,Othello
87,Compagnie Kafig
88,Theatre des Bouffes
89,Sabine Meyer
90,Kidd Pivot
91,Berlin Philharmonic
92,She Stoops
93,Macbeth
94,Canadian Brass
95,Chanticleer
96,Charles Lloyd Quartet
97,The Magistrate
98,The King's Singers
99,Schola Cantorum de Venezuela
100,Ariel Quartet
101,St Lawrence String Quartet
102,Elias String Quartet
103,Brooklyn Rider
104,Collaborators
105,The Tallis Scholars
106,Brahms's Requiem
107,Los Angeles Guitar Quartet
108,War Horse
109,Cheikh Lo
110,Dave Holland
111,Gabriel Kahane
112,Suzhou Kun Troupe
113,Ensemble Basiani
114,Jason Moran's Fats Waller Dance Party
115,Dan Zanes and Friend
116,Max Raabe
117,Last of the Haussmans
118,Timon of Athens
119,Traveling Light
120,Colin Stetson
121,Fred Hersch Trio
122,One Night in Bamako
123,Alfredo Rodriguez
124,Beijing Guitar Duo
125,"One Man, Two Gu"
126,Frankenstein
127,The Kitchen
128,The Comedy of Errors
129,Mavericks All Access
130,People
131,This House
132,The Curious Incident of the Dog in the Night-Time
133,Coriolanus
134,Steve Lehman Octet
135,Asif Ali Khan
136,DC: Hubbard
137,FAM -Aspen Santa Fe
138,James Blake
139,Breakin' Curfew
140,Fela!
141,DC: Ballet Preljocaj
142,Diego El Cigala
143,Usher Party
